name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude,keyword,searched_zipcode,category
,"
6319 Multiplex Dr, Centreville, VA 20121","
aqua-tots.com","
(703) 260-9222",,,38.8514931,-77.5361175,kids swimming lessons,20120,
,"
43160 Amberwood Plaza, South Riding, VA 20152","
propelswimacademy.com","
(703) 544-1992",,,38.9238917,-77.6540824,kids swimming lessons,20120,
,"
4630 Stonecroft Blvd, Chantilly, VA 20151","
fairfaxcounty.gov","
(703) 817-9407",,,38.9238917,-77.6540824,kids swimming lessons,20120,
,"
13015 Lee Jackson Memorial Hwy Service Rd, Fairfax, VA 22033","
bigblueswimschool.com","
(571) 773-7559",,,38.8785695,-77.5417415,kids swimming lessons,20120,
,"
3940 Centerview Dr, Chantilly, VA 20151","
britishswimschool.com","
(703) 951-3097",,,38.8785695,-77.5417415,kids swimming lessons,20120,
,"
5101 Sequoia Farms Dr, Centreville, VA 20120","
sullystation.org","
(703) 830-7566",,,38.8785695,-77.5417415,kids swimming lessons,20120,
,"
8025 Sudley Rd, Manassas, VA 20109","
britishswimschool.com","
(571) 303-0170",,,38.7814883,-77.6540255,kids swimming lessons,20120,
,"
10298 Festival Ln, Manassas, VA 20109","
kidsfirstswim.com","
(571) 535-3200",,,38.7814883,-77.6540255,kids swimming lessons,20120,
,"
5562 Sequoia Farms Dr, Centreville, VA 20120","
sequoiafarms.com","
(703) 803-9641",,,38.7814883,-77.6540255,kids swimming lessons,20120,
,"
25401 Eastern Marketplace Plaza Ste. 195, Chantilly, VA 20152","
aqua-tots.com","
(703) 291-4640",,,38.9153028,-77.6336203,kids swimming lessons,20120,
,"
4347 Cub Run Rd, Chantilly, VA 20151","
pvrec.org",,,,38.915187,-77.6336207,swimming classes for kids,20120,
,"
5900 Trinity Pkwy, Centreville, VA 20120","
lifetime.life","
(703) 266-6200",,,38.915187,-77.6336207,swimming classes for kids,20120,
,"
6119 Pleasant Valley Rd, Centreville, VA 20120","
virginiarun.com",,,,38.915187,-77.6336207,swimming classes for kids,20120,
,"
13555 Wellington Center Cir #109, Gainesville, VA 20155","
swimkids.us","
(571) 261-7946",,,38.7930729,-77.7424047,swimming classes for kids,20120,
,"
42065 Berkley Hl Ter, Aldie, VA 20105","
letswim.com","
(703) 717-3411",,,38.9376228,-77.6927912,swimming classes for kids,20120,
,"
10371 Central Park Dr, Manassas, VA 20110","
swimoccs.org","
(703) 393-2632",,,38.9376228,-77.6927912,swimming classes for kids,20120,
,"
13001 Point Pleasant Dr, Fairfax, VA 22033","
greenbriar.org","
(703) 378-4421",,,38.869737,-77.5384058,swimming classes for kids,20120,
,"
13998 Parkeast Cir, Chantilly, VA 20151",,"
(703) 803-9641",,,38.869737,-77.5384058,swimming classes for kids,20120,
,"
13615 Pennsboro Dr, Chantilly, VA 20151","
brookfieldswimclub.com","
(571) 969-7946",,,38.869737,-77.5384058,swimming classes for kids,20120,
,"
43450 Parish St, Chantilly, VA 20152",,,,,38.8973266,-77.6438774,swimming classes for kids,20120,
