name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude,keyword,searched_zipcode
Evolution Basketball - Chantilly,"
14810 Murdock St, Chantilly, VA 20151","
evobball.com",,,,38.9127856,-114.3733242,basketball classes for kids,20120
24/7 Basketball,"
14112 Newbrook Dr, Chantilly, VA 20151",,,,,38.9127856,-114.3733242,basketball classes for kids,20120
All In Basketball Training,,"
allinbasketballtraining.com","
(703) 987-8989",,,38.9127856,-114.3733242,basketball classes for kids,20120
Evolution Basketball - Manassas,"
11900 Livingston Rd STE 119, Manassas, VA 20109","
evobball.com",,,,38.9127856,-114.3733242,basketball classes for kids,20120
James Mcdonnell Recreation Center,"
6119 Pleasant Valley Rd, Centreville, VA 20120","
virginiarun.com",,,,38.9127856,-114.3733242,basketball classes for kids,20120
Evolution Basketball - Gainesville,"
7679 Limestone Dr STE 115, Gainesville, VA 20155","
evobball.com",,,,38.9127856,-114.3733242,basketball classes for kids,20120
The Fieldhouse,"
14810 Murdock St, Chantilly, VA 20151","
cyafieldhouse.org","
(571) 529-6545",,,38.9127856,-114.3733242,basketball classes for kids,20120
Next Level Basketball Training,"
8305 Merrifield Ave Suite F, Fairfax, VA 22031","
nxtlevelbball.com","
(703) 313-1201",,,38.9127856,-114.3733242,basketball classes for kids,20120
The nZone,"
14550 Lee Rd, Chantilly, VA 20151","
thenzone.com","
(703) 266-0118",,,38.9127856,-114.3733242,basketball classes for kids,20120
Life Time,"
5900 Trinity Pkwy, Centreville, VA 20120","
lifetime.life","
(703) 266-6200",,,38.9127856,-114.3733242,basketball classes for kids,20120
Shoot 360 VA,"
14550 Lee Rd, Chantilly, VA 20151","
innovativesports360.com","
(703) 460-5588",,,38.9127856,-114.3733242,basketball classes for kids,20120
The Higher Level Basketball Club LLC,,,"
(571) 707-0084",,,46.423669,-166.8567711,basketball classes for kids,20120
Dulles South Recreation and Community Center,"
24950 Riding Center Dr, South Riding, VA 20152","
loudoun.gov","
(571) 258-3456",,,38.9211706,-114.4398456,basketball classes for kids,20120
