name,address,website,phone_number,latitude,longitude,keyword,searched_zipcode,category
Aqua Tots+Swim+School+Centreville,"
6319 Multiplex Dr, Centreville, VA 20121","
aqua-tots.com","
(703) 260-9222",38.8035965,-77.5127196,kids swimming lessons,20121,
Kids+First+Swim+School+ +Manassas,"
10298 Festival Ln, Manassas, VA 20109","
kidsfirstswim.com","
(571) 535-3200",38.7791523,-77.5768514,kids swimming lessons,20121,
Big+Blue+Swim+School,"
13015 Lee Jackson Memorial Hwy Service Rd, Fairfax, VA 22033","
bigblueswimschool.com","
(571) 773-7559",38.8785695,-77.4335948,swimming classes for kids,20121,
British+Swim+School+Of+Bull+Run Gainesville,"
8025 Sudley Rd, Manassas, VA 20109","
britishswimschool.com","
(571) 303-0170",38.7814883,-77.5458788,swimming classes for kids,20121,
Sequoia+Farms+Pool,"
5562 Sequoia Farms Dr, Centreville, VA 20120","
sequoiafarms.com","
(703) 803-9641",38.8522834,-77.4788411,swimming classes for kids,20121,
Moons+Aquatics+Club,"
99 Adams St, Manassas Park, VA 20111","
moonsaquaticsclub.com","
(703) 343-0905",38.7831535,-77.4982973,swimming classes for kids,20121,
Life+Time,"
5900 Trinity Pkwy, Centreville, VA 20120","
lifetime.life","
(703) 266-6200",38.840763,-77.4782638,swimming classes for kids,20121,
Cub+Run+Rec+Center,"
4630 Stonecroft Blvd, Chantilly, VA 20151","
fairfaxcounty.gov","
(703) 817-9407",38.890082,-77.5045989,swimming classes for kids,20121,
Central+Park+Aquatic+Center%2F+Occoquan+Swim+Academy,"
10371 Central Park Dr, Manassas, VA 20110","
swimoccs.org","
(703) 393-2632",38.742213,-77.5351329,swimming classes for kids,20121,
Manassas+Park+Community+Center,"
99 Adams St, Manassas Park, VA 20111","
manassasparkcommunitycenter.com","
(703) 335-8872",38.7826705,-77.4977122,swimming classes for kids,20121,
Faircrest+Cyclones,"
99 Adams St, Manassas Park, VA 20111","
manassasparkcommunitycenter.com","
(703) 335-8872",38.7826705,-77.4977122,swimming classes for kids,20121,
British+Swim+School,"
3940 Centerview Dr, Chantilly, VA 20151","
britishswimschool.com","
(703) 951-3097",38.8970513,-77.4691339,swimming classes for kids,20121,
James+Mcdonnell+Recreation+Center,"
6119 Pleasant Valley Rd, Centreville, VA 20120","
virginiarun.com",,38.850257,-77.5205589,swimming classes for kids,20121,
Greenbriar+Pool+Club,"
13001 Point Pleasant Dr, Fairfax, VA 22033","
greenbriar.org","
(703) 378-4421",38.869737,-77.4302591,swimming classes for kids,20121,
Swimkids+Swim+School+ +Gainesville,"
13555 Wellington Center Cir #109, Gainesville, VA 20155","
swimkids.us","
(571) 261-7946",38.7930729,-77.634258,swimming classes for kids,20121,
Propel+Swim+Academy,"
43160 Amberwood Plaza, South Riding, VA 20152","
propelswimacademy.com","
(703) 544-1992",38.9238917,-77.5459357,swimming classes for kids,20121,
Urbanna+Swim+Club,"
8030 Urbanna Rd, Manassas, VA 20109","
urbannaswimclub.org","
(703) 361-3233",38.7803306,-77.5352249,swimming classes for kids,20121,
Stonewall+Park+Pool,"
8351 Stonewall Rd, Manassas, VA 20110","
manassasva.gov","
(703) 369-6137",38.7763258,-77.5046775,swimming classes for kids,20121,
Little+Rocky+Run+Pool+3,"
Stonefield Dr, Clifton, VA 20124","
littlerockyrunhoa.org",,38.812717,-77.4597458,swimming classes for kids,20121,
Big+Blue+Swim+School,"
9658 Main St, Fairfax, VA 22031","
bigblueswimschool.com","
(571) 357-2858",38.8431009,-77.3119207,swimming classes for kids,20121,
Bull+Run+Swim+%26+Raquet+Club,"
Historic District, 8101 Seymour Rd, Manassas, VA 20109","
bullrunswimandracquetclub.com","
(703) 369-4502",38.7840385,-77.5593109,swimming classes for kids,20121,
Brookfield+Swim+Club,"
13615 Pennsboro Dr, Chantilly, VA 20151","
brookfieldswimclub.com","
(571) 969-7946",38.879136,-77.4554368,swimming classes for kids,20121,
Aqua Tots+Swim+School+South+Riding,"
13615 Pennsboro Dr, Chantilly, VA 20151","
brookfieldswimclub.com","
(571) 969-7946",38.879136,-77.4554368,swimming classes for kids,20121,
Swim+Club,"
13998 Parkeast Cir, Chantilly, VA 20151",,"
(703) 803-9641",38.879136,-77.4554368,swimming classes for kids,20121,
Sully+Station+Ii+Community+Association,"
13998 Parkeast Cir, Chantilly, VA 20151",,"
(703) 803-9641",38.879136,-77.4554368,swimming classes for kids,20121,
Goldfish+Swim+School+ +Reston,"
12340 Pinecrest Rd, Reston, VA 20191","
goldfishswimschool.com","
(703) 420-4727",38.9360092,-77.4111537,swimming classes for kids,20121,
Atlantis+Waterpark+At+Bull+Run,"
7700 Bull Run Dr, Centreville, VA 20121","
novaparks.com","
(703) 631-0552",38.802445,-77.5136786,swimming classes for kids,20121,
Splashdown+Waterpark,"
7500 Ben Lomond Park Rd, Manassas, VA 20109","
splashdownwaterpark.com","
(703) 792-8200",38.802445,-77.5136786,swimming classes for kids,20121,
