name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude,keyword,searched_zipcode
YMCA Alexandria,,,,,,38.7980322,-77.1492847,sports classes for kids,22301
Bounce Alexandria,,,,,,38.7980322,-77.1492847,sports classes for kids,22301
Kids Pro Soccer,"
107 S West St, Alexandria, VA 22314","
kidsprosoccer.com","
(202) 438-8555",,,38.7980322,-77.1492847,sports classes for kids,22301
Mount Vernon Recreation Center,"
107 S West St, Alexandria, VA 22314","
kidsprosoccer.com","
(202) 438-8555",,,38.7980322,-77.1492847,sports classes for kids,22301
Chinquapin Park Recreation Center & Aquatics Facility,"
107 S West St, Alexandria, VA 22314","
kidsprosoccer.com","
(202) 438-8555",,,38.7980322,-77.1492847,sports classes for kids,22301
Charles Houston Recreation Center,"
107 S West St, Alexandria, VA 22314","
kidsprosoccer.com","
(202) 438-8555",,,38.7980322,-77.1492847,sports classes for kids,22301
emPOWER kids,"
3210 King St, Alexandria, VA 22302","
alexandriava.gov","
(703) 746-5553",,,38.7980322,-77.1492847,sports classes for kids,22301
Trident Athletics,"
3210 King St, Alexandria, VA 22302","
alexandriava.gov","
(703) 746-5553",,,38.7980322,-77.1492847,sports classes for kids,22301
Healthy Baller Alexandria,"
3210 King St, Alexandria, VA 22302","
alexandriava.gov","
(703) 746-5553",,,38.7980322,-77.1492847,sports classes for kids,22301
Patrick Henry Recreation Center,"
3210 King St, Alexandria, VA 22302","
alexandriava.gov","
(703) 746-5553",,,38.7980322,-77.1492847,sports classes for kids,22301
Zara Sports Club,"
3210 King St, Alexandria, VA 22302","
alexandriava.gov","
(703) 746-5553",,,38.8174608,-77.1848479,sports classes for kids,22301
The Little Gym of Alexandria at Huntley Meadows,"
3210 King St, Alexandria, VA 22302","
alexandriava.gov","
(703) 746-5553",,,38.8174608,-77.1848479,sports classes for kids,22301
Testudo BJJ Judo,"
3210 King St, Alexandria, VA 22302","
alexandriava.gov","
(703) 746-5553",,,38.8174608,-77.1848479,sports classes for kids,22301
Steve & Kate's Camp - Alexandria,"
6500 Quander Rd, Alexandria, VA 22307","
zarasportsclub.com","
(301) 744-9272",,,38.7743791,-77.1439194,sports classes for kids,22301
Onelife Fitness - Alexandria,"
6500 Quander Rd, Alexandria, VA 22307","
zarasportsclub.com","
(301) 744-9272",,,38.7743791,-77.1439194,sports classes for kids,22301
