name,address,website,phone_number,latitude,longitude,keyword,searched_zipcode,category
Big+Blue+Swim+School,"
13015 Lee Jackson Memorial Hwy Service Rd, Fairfax, VA 22033","
bigblueswimschool.com","
(571) 773-7559",38.8785695,-77.5417415,kids swimming lessons,22033,
Big+Blue+Swim+School,"
9658 Main St, Fairfax, VA 22031","
bigblueswimschool.com","
(571) 357-2858",38.8431009,-77.4200674,kids swimming lessons,22033,
Aqua Tots+Swim+School+Centreville,"
6319 Multiplex Dr, Centreville, VA 20121","
aqua-tots.com","
(703) 260-9222",38.8280551,-77.5824818,kids swimming lessons,22033,
Greenbriar+Pool+Club,"
13001 Point Pleasant Dr, Fairfax, VA 22033","
greenbriar.org","
(703) 378-4421",38.8280551,-77.5824818,kids swimming lessons,22033,
Propel+Swim+Academy,"
43160 Amberwood Plaza, South Riding, VA 20152","
propelswimacademy.com","
(703) 544-1992",38.8280551,-77.5824818,kids swimming lessons,22033,
Villa+Aquatic+Club+Inc,"
4299 Andes Dr, Fairfax, VA 22030","
villaaquatic.com","
(703) 591-9447",38.8466428,-77.4747555,kids swimming lessons,22033,
Goldfish+Swim+School+ +Reston,"
12340 Pinecrest Rd, Reston, VA 20191","
goldfishswimschool.com","
(703) 420-4727",38.9360092,-77.5193004,kids swimming lessons,22033,
Brookfield+Swim+Club,"
13615 Pennsboro Dr, Chantilly, VA 20151","
brookfieldswimclub.com","
(571) 969-7946",38.9360092,-77.5193004,kids swimming lessons,22033,
Fair+Oaks+Pool,"
3720 Charles Stewart Dr, Fairfax, VA 22033","
fairoaksrec.com","
(703) 758-1980",38.9360092,-77.5193004,kids swimming lessons,22033,
Cub+Run+Rec+Center,"
4630 Stonecroft Blvd, Chantilly, VA 20151","
fairfaxcounty.gov","
(703) 817-9407",38.890082,-77.6127456,indoor swim lessons for kids,22033,
Oakmont+Rec+Center,"
3200 Jermantown Rd, Oakton, VA 22124","
fairfaxcounty.gov","
(703) 281-6501",38.8749441,-77.4586734,indoor swim lessons for kids,22033,
