name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude,keyword,searched_zipcode
Beyond the Hoop,"
5547 Lee Hwy A, Arlington, VA 22207","
bulldawgbasketball.com","
(703) 533-9158",,,38.9358898,-77.5918344,basketball classes for kids,22209
Evolution Basketball - Merrifield,"
2940B Prosperity Ave, Fairfax, VA 22031","
evobball.com",,,,38.9358898,-77.5918344,basketball classes for kids,22209
Next Level Basketball Training,"
8305 Merrifield Ave Suite F, Fairfax, VA 22031","
nxtlevelbball.com","
(703) 313-1201",,,38.9358898,-77.5918344,basketball classes for kids,22209
Gunston Community Center,"
2700 S Lang St, Arlington, VA 22206","
arlingtonva.us","
(703) 228-6980",,,38.9358898,-77.5918344,basketball classes for kids,22209
Blockchain Basketball Training,"
1521 Boyd Pointe Wy Unit 2509, Vienna, VA 22182","
site123.me","
(703) 989-7867",,,38.9358898,-77.5918344,basketball classes for kids,22209
DNA Skills Academy,"
7631 Fullerton Rd Suite A, Springfield, VA 22153",,"
(703) 345-8391",,,38.9358898,-77.5918344,basketball classes for kids,22209
24/7 Basketball,"
14112 Newbrook Dr, Chantilly, VA 20151",,,,,38.873111,-78.0091736,basketball classes for kids,22209
Barcroft Community Center,"
4200 S Four Mile Run Dr, Arlington, VA 22206","
arlingtonva.us","
(703) 228-0701",,,38.8505519,-77.6785461,basketball classes for kids,22209
Gillion Academy School,"
7965 Twist Ln, Springfield, VA 22153","
thegillionacademy.org","
(202) 365-8328",,,38.8505519,-77.6785461,basketball classes for kids,22209
Ultimate Basketball Training,"
7666E Fullerton Rd, Springfield, VA 22153","
ultimatebasketballtraining.com","
(703) 609-0932",,,38.8505519,-77.6785461,basketball classes for kids,22209
Giant Basketball Academy,"
20145 Ashbrook Pl, Ashburn, VA 20147","
giantbasketball.com",,,,39.0592041,-78.0407065,basketball classes for kids,22209
Dawson Terrace Community Center,"
2133 N Taft St, Arlington, VA 22201","
arlingtonva.us","
(703) 228-5725",,,38.8994261,-77.6596378,basketball classes for kids,22209
Virginia Highlands Park Basketball Courts,"
1600 S Hayes St, Arlington, VA 22202","
arlingtonva.us","
(703) 228-6525",,,38.8994261,-77.6596378,basketball classes for kids,22209
Walter Reed CC Basketball Court,"
2909 16th St S, Arlington, VA 22206","
arlingtonva.us","
(703) 228-0935",,,38.8994261,-77.6596378,basketball classes for kids,22209
Fort Myer Basketball Courts,"
Arlington, VA 22204",,,,,38.8994261,-77.6596378,basketball classes for kids,22209
Rocky Run Park,"
1109 N Barton St, Arlington, VA 22201","
arlingtonva.us","
(703) 228-6525",,,38.8994261,-77.6596378,basketball classes for kids,22209
Stratford Park Basketball Court,"
Arlington, VA 22207","
arlingtonva.us",,,,38.8994261,-77.6596378,basketball classes for kids,22209
One On One Basketball Inc,"
4818 Yuma St NW # 2, Washington, DC 20016","
1on1basketball.com","
(202) 431-9650",,,38.8994261,-77.6596378,basketball classes for kids,22209
You Reach I Teach Basketball Academy,"
16778 Oakmont Ave, Gaithersburg, MD 20877","
youreachiteach.com","
(202) 415-4881",,,38.8994261,-77.6596378,basketball classes for kids,22209
Hardy Recreation Center,"
4500 Q St NW, Washington, DC 20007","
dpr.dc.gov","
(202) 282-2190",,,38.8994261,-77.6596378,basketball classes for kids,22209
Volta Park Recreation Center,"
1555 34th St NW, Washington, DC 20007","
dpr.dc.gov","
(202) 645-5668",,,38.8994261,-77.6596378,basketball classes for kids,22209
Arlington County Parks & Recreation,"
2100 Clarendon Blvd UNIT 414, Arlington, VA 22201","
arlingtonva.us","
(703) 228-4747",,,38.8994261,-77.6596378,basketball classes for kids,22209
Arlington YMCA Tennis & Squash Center,"
3400 13th St N, Arlington, VA 22201","
ymcadc.org","
(703) 522-1700",,,38.8994261,-77.6596378,basketball classes for kids,22209
Henderson Hall Smith Gym,"
27 Southgate Rd, Arlington, VA 22214","
hendersonhall.usmc-mccs.org","
(703) 614-7214",,,38.8994261,-77.6596378,basketball classes for kids,22209
Department of Parks and Recreation - Athletic and Facility Services Division,"
27 Southgate Rd, Arlington, VA 22214","
hendersonhall.usmc-mccs.org","
(703) 614-7214",,,38.8994261,-77.6596378,basketball classes for kids,22209
DC SCORES,"
1140 Connecticut Ave NW #1200, Washington, DC 20036","
dcscores.org","
(202) 393-6999",,,38.8994261,-77.6596378,basketball classes for kids,22209
Zitkala-Sa Park,"
3011 7th St N, Arlington, VA 22201","
arlingtonva.us","
(703) 228-6525",,,38.8994261,-77.6596378,basketball classes for kids,22209
Life Time,"
3011 7th St N, Arlington, VA 22201","
arlingtonva.us","
(703) 228-6525",,,38.8994261,-77.6596378,basketball classes for kids,22209
Quincy Park,"
1021 N Quincy St, Arlington, VA 22201","
arlingtonva.us","
(703) 228-6525",,,38.8994261,-77.6596378,basketball classes for kids,22209
Lyon Village Park,"
1800 N Highland St, Arlington, VA 22201","
parks.arlingtonva.us","
(703) 228-6525",,,38.8994261,-77.6596378,basketball classes for kids,22209
Hayes Park,"
1800 N Highland St, Arlington, VA 22201","
parks.arlingtonva.us","
(703) 228-6525",,,38.8994261,-77.6596378,basketball classes for kids,22209
