name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude,keyword,searched_zipcode
YMCA Alexandria,"
420 E Monroe Ave, Alexandria, VA 22301","
ymcadc.org",,,,38.7980322,-77.1457106,sports classes for kids,22301
Kids Pro Soccer,"
107 S West St, Alexandria, VA 22314","
kidsprosoccer.com",,,,38.7980322,-77.1457106,sports classes for kids,22301
Bounce Alexandria,"
1712 Mt Vernon Ave, Alexandria, VA 22301","
bouncealexandria.com",,,,38.7980322,-77.1457106,sports classes for kids,22301
emPOWER kids,"
1712 Mt Vernon Ave, Alexandria, VA 22301","
bouncealexandria.com",,,,38.7980322,-77.1457106,sports classes for kids,22301
Chinquapin Park Recreation Center & Aquatics Facility,"
3210 King St, Alexandria, VA 22302","
alexandriava.gov",,,,38.7980322,-77.1457106,sports classes for kids,22301
Mount Vernon Recreation Center,"
2701 Commonwealth Ave, Alexandria, VA 22305","
alexandriava.gov",,,,38.7980322,-77.1457106,sports classes for kids,22301
Charles Houston Recreation Center,"
901 Wythe St, Alexandria, VA 22314","
alexandriava.gov",,,,38.7980177,-77.1457107,sports programs for kids,22301
Nannie J Lee Memorial Recreation Center,"
901 Wythe St, Alexandria, VA 22314","
alexandriava.gov",,,,38.7980177,-77.1457107,sports programs for kids,22301
Leonard “Chick” Armstrong Recreation Center,"
25 W Reed Ave, Alexandria, VA 22305","
alexandriava.gov",,,,38.7980177,-77.1457107,sports programs for kids,22301
Foundation Fitness of Del Ray,"
1901 Mt Vernon Ave, Alexandria, VA 22301","
foundfitpt.com",,,,38.7980032,-77.1457107,sports training for kids,22301
Up Next Baseball LLC,"
1901 Mt Vernon Ave, Alexandria, VA 22301","
foundfitpt.com",,,,38.7980032,-77.1457107,sports training for kids,22301
Trident Athletics,"
1901 Mt Vernon Ave, Alexandria, VA 22301","
foundfitpt.com",,,,38.7980032,-77.1457107,sports training for kids,22301
JD Performance LLC,"
1901 Mt Vernon Ave, Alexandria, VA 22301","
foundfitpt.com",,,,38.7980032,-77.1457107,sports training for kids,22301
Alexandria Soccer Association,"
1108 Jefferson St, Alexandria, VA 22314","
alexandria-soccer.org",,,,38.7979888,-77.1457108,youth sports programs,22301
Dunbar Alexandria-Olympic Boys & Girls Club,"
401 N Payne St, Alexandria, VA 22314","
bgcgw.org",,,,38.7979888,-77.1457108,youth sports programs,22301
LMVSC,"
401 N Payne St, Alexandria, VA 22314","
bgcgw.org",,,,38.7979888,-77.1457108,youth sports programs,22301
Yang's Taekwondo,"
1611 Commonwealth Ave, Alexandria, VA 22301","
yangstaekwondo.com",,,,38.7979743,-77.1457108,kids sports academy,22301
Goldfish Swim School - Alexandria,"
3155-B Duke St, Alexandria, VA 22314","
goldfishswimschool.com",,,,38.7979743,-77.1457108,kids sports academy,22301
Steve & Kate's Camp - Alexandria,"
3155-B Duke St, Alexandria, VA 22314","
goldfishswimschool.com",,,,38.7979743,-77.1457108,kids sports academy,22301
Summer Camp at Episcopal,,,,,,38.7979598,-77.1457109,sports camp for kids,22301
Zweet Sport Total Fitness Studio,"
727 N Henry St, Alexandria, VA 22314","
zweetsport.com",,,,38.7979164,-77.145711,kids fitness programs,22301
"Foundation Fitness of Old Town, Alexandria","
727 N Henry St, Alexandria, VA 22314","
zweetsport.com",,,,38.7979164,-77.145711,kids fitness programs,22301
