name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude,keyword,searched_zipcode
Camp Kids Place,"
3910 Lorcom Ln, Arlington, VA 22207","
campkidsplace.com","
(703) 243-1506",,,38.967273,-77.2199576,summer camps for kids,22201
Congressional Camp,"
3229 Sleepy Hollow Rd, Falls Church, VA 22042","
congocamp.org","
(703) 533-0931",,,38.8585949,-77.3079302,summer camps for kids,22201
"LCF KIDS - Falls Church, VA","
150 S Washington St #100, Falls Church, VA 22046","
lcfkids.com","
(703) 909-7971",,,38.8585949,-77.3079302,summer camps for kids,22201
YMCA Arlington,"
3422 13th St N, Arlington, VA 22201","
ymcadc.org","
(703) 525-5420",,,38.8585949,-77.3079302,summer camps for kids,22201
Summer Camp at Episcopal,"
1200 N Quaker Ln, Alexandria, VA 22302","
summeratepiscopal.org","
(703) 933-4040",,,38.8585949,-77.3079302,summer camps for kids,22201
YMCA Arlington Woodmont Gymnastics Center,"
2422 N Fillmore St, Arlington, VA 22207","
ymcadc.org","
(703) 527-4966",,,38.9028651,-77.1820491,summer camps for kids,22201
The Little Gym of Arlington,"
2209 N Pershing Dr, Arlington, VA 22201","
thelittlegym.com","
(703) 672-3504",,,38.9028651,-77.1820491,summer camps for kids,22201
Steve & Kate's Camp - Arlington (TEMPORARILY CLOSED),"
105 N Thomas St, Arlington, VA 22203","
steveandkatescamp.com","
(571) 384-2214",,,38.8711549,-77.2485739,summer camps for kids,22201
Boolean Girl,"
1000 N Glebe Rd, Arlington, VA 22201","
booleangirl.org","
(202) 996-8241",,,38.871097,-77.2485741,stem camps,22201
"STEM Preschool Arlington, Virginia","
3120 S Abingdon St, Arlington, VA 22206","
stempreschool.com","
(703) 639-4601",,,38.871097,-77.2485741,stem camps,22201
STEM exCEL Enrichment Center,"
9914 Main St, Fairfax, VA 22031","
stemexcel.org","
(703) 673-2784",,,38.8440719,-77.4327034,stem camps,22201
Bright Path Institute of Science and Technology,"
3100 Clarendon Blvd Suite 200, Arlington, VA 22201","
brightpathtechnology.com","
(801) 889-3468",,,38.8863515,-77.2396135,stem camps,22201
DC Summer STEM Academy,"
3100 Clarendon Blvd Suite 200, Arlington, VA 22201","
brightpathtechnology.com","
(801) 889-3468",,,38.8863515,-77.2396135,stem camps,22201
Stemtree Education Center LLC,"
220 Maple Ave W, Vienna, VA 22180","
stemtree.com","
(703) 281-7836",,,38.8988345,-77.4120832,stem camps,22201
Lubber Run Community Center,"
300 N Park Dr, Arlington, VA 22203","
arlingtonva.us","
(703) 228-4712",,,38.8735076,-77.2581906,stem camps,22201
Code Ninjas Alexandria,"
4694 King St Suite 15, Alexandria, VA 22302","
codeninjas.com","
(703) 375-9540",,,38.8422738,-77.2537662,stem camps,22201
TIC Summer Camp - DC,"
4694 King St Suite 15, Alexandria, VA 22302","
codeninjas.com","
(703) 375-9540",,,38.8422738,-77.2537662,stem camps,22201
St. Stephen's and St. Agnes School Summertimes,"
400 Fontaine St, Alexandria, VA 22302","
summertimes.org","
(703) 212-2777",,,38.8422738,-77.2537662,stem camps,22201
Thomas Jefferson Community Center,"
3501 2nd St S, Arlington, VA 22204","
parks.arlingtonva.us","
(703) 228-5920",,,38.8422738,-77.2537662,stem camps,22201
Kinhaven School,"
915 N Oakland St, Arlington, VA 22203","
kinhaven.com","
(703) 525-4636",,,38.8422738,-77.2537662,stem camps,22201
Arlington Science Focus Elementary School,"
1501 N Lincoln St, Arlington, VA 22201","
asfs.apsva.us","
(703) 228-7670",,,38.8422738,-77.2537662,stem camps,22201
The T.E.A. Center,"
1491 Chain Bridge Rd #200, McLean, VA 22101","
theteacenter.org","
(571) 342-9211",,,38.9305859,-77.262787,stem camps,22201
Children's Weekday Program,"
1491 Chain Bridge Rd #200, McLean, VA 22101","
theteacenter.org","
(571) 342-9211",,,38.9305859,-77.262787,stem camps,22201
Syphax Education Center,"
2110 Washington Blvd, Arlington, VA 22204","
apsva.us","
(703) 228-6000",,,38.9305859,-77.262787,stem camps,22201
George Mason University - Mason Square (Arlington Campus),"
3351 Fairfax Dr, Arlington, VA 22201","
masonsquare.gmu.edu","
(703) 993-8999",,,38.8849692,-77.2451292,stem camps,22201
Pentagon Mixed Martial Arts,"
1041 S Edgewood St, Arlington, VA 22204","
pentagonmma.com","
(703) 521-1000",,,38.8975317,-77.1896621,stem camps,22201
Primrose School of Arlington,"
2107 Wilson Blvd, Arlington, VA 22201","
primroseschools.com","
(703) 565-9800",,,38.8975317,-77.1896621,stem camps,22201
