name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude,keyword,searched_zipcode
Science Cosmos,"
14101 Parke Long Ct suite n, Chantilly, VA 20151",,"
(703) 831-7416",,,37.6139956,-79.8852669,summer camps for kidsstem campseducational campsscience campscoding camps for kidsrobotics campskids learning centereducational programs for kidsafter school programs for kids,20120
Steam Kidz Lab,"
14701 Willard Rd # B, Chantilly, VA 20151",,,,,37.6139956,-79.8852669,summer camps for kidsstem campseducational campsscience campscoding camps for kidsrobotics campskids learning centereducational programs for kidsafter school programs for kids,20120
STEM exCEL Enrichment Center,"
9914 Main St, Fairfax, VA 22031","
stemexcel.org","
(703) 673-2784",,,37.6139956,-79.8852669,summer camps for kidsstem campseducational campsscience campscoding camps for kidsrobotics campskids learning centereducational programs for kidsafter school programs for kids,20120
SSSAS and Drobots: Drone | Tech | Robotics | Coding Summer Camps For Kids,"
Drobots Summer Camp at St. Stephen's and St. Agnes School, 4401 W Braddock Rd, Alexandria, VA 22304","
drobotscompany.com","
(800) 336-2098",,,37.6139956,-79.8852669,summer camps for kidsstem campseducational campsscience campscoding camps for kidsrobotics campskids learning centereducational programs for kidsafter school programs for kids,20120
Robotic Camp,"
1650 Old Apex Rd, Cary, NC 27513","
roboticcamp.com","
(919) 480-1616",,,35.7621654,-83.0555131,summer camps for kidsstem campseducational campsscience campscoding camps for kidsrobotics campskids learning centereducational programs for kidsafter school programs for kids,20120
Club SciKidz NOVA,"
1650 Old Apex Rd, Cary, NC 27513","
roboticcamp.com","
(919) 480-1616",,,39.1290818,-82.3376336,summer camps for kidsstem campseducational campsscience campscoding camps for kidsrobotics campskids learning centereducational programs for kidsafter school programs for kids,20120
THE R CHILD Robotics and STEM Camp,"
37018 Glendale St, Purcellville, VA 20134","
clubscikidznova.com","
(804) 548-4787",,,39.1290818,-82.3376336,summer camps for kidsstem campseducational campsscience campscoding camps for kidsrobotics campskids learning centereducational programs for kidsafter school programs for kids,20120
Robotics Camp,"
3413 King William Dr, Olney, MD 20832",,"
(301) 338-6141",,,39.1290818,-82.3376336,summer camps for kidsstem campseducational campsscience campscoding camps for kidsrobotics campskids learning centereducational programs for kidsafter school programs for kids,20120
TIC Summer Camp - Virginia,"
3413 King William Dr, Olney, MD 20832",,"
(301) 338-6141",,,39.1290818,-82.3376336,summer camps for kidsstem campseducational campsscience campscoding camps for kidsrobotics campskids learning centereducational programs for kidsafter school programs for kids,20120
Kids Robotic Academy,"
@ The Langley School, 1411 Balls Hill Rd, McLean, VA 22101","
ticcamp.com","
(703) 876-2868",,,39.1290818,-82.3376336,summer camps for kidsstem campseducational campsscience campscoding camps for kidsrobotics campskids learning centereducational programs for kidsafter school programs for kids,20120
"Drobots Drone STEM Camps at the Bullis School For Kids, Pre-Teens, and Teens","
Bullis School, 10601 Falls Rd, Potomac, MD 20854","
drobotscompany.com","
(800) 336-2098",,,39.1290818,-82.3376336,summer camps for kidsstem campseducational campsscience campscoding camps for kidsrobotics campskids learning centereducational programs for kidsafter school programs for kids,20120
Robotics For Youth,"
4620 Fillingame Dr, Chantilly, VA 20151","
roboticsforyouth.org","
(571) 250-6576",,,39.1290818,-82.3376336,summer camps for kidsstem campseducational campsscience campscoding camps for kidsrobotics campskids learning centereducational programs for kidsafter school programs for kids,20120
Stemtree Education Center LLC,"
4620 Fillingame Dr, Chantilly, VA 20151","
roboticsforyouth.org","
(571) 250-6576",,,39.1290818,-82.3376336,summer camps for kidsstem campseducational campsscience campscoding camps for kidsrobotics campskids learning centereducational programs for kidsafter school programs for kids,20120
Robo Kids STEM,"
220 Maple Ave W, Vienna, VA 22180","
stemtree.com","
(703) 281-7836",,,39.1290818,-82.3376336,summer camps for kidsstem campseducational campsscience campscoding camps for kidsrobotics campskids learning centereducational programs for kidsafter school programs for kids,20120
Camp Kids Place,"
3910 Lorcom Ln, Arlington, VA 22207","
campkidsplace.com","
(703) 243-1506",,,39.1290818,-82.3376336,summer camps for kidsstem campseducational campsscience campscoding camps for kidsrobotics campskids learning centereducational programs for kidsafter school programs for kids,20120
"Piedmont Virginia College Drobots Drone STEM Camps For Kids, Pre-Teens & Teens","
PVCC - Main Building, Piedmont Virginia Community College, 501 College Drive, 501 College Dr, Charlottesville, VA 22902","
drobotscompany.com","
(800) 336-2098",,,39.1290818,-82.3376336,summer camps for kidsstem campseducational campsscience campscoding camps for kidsrobotics campskids learning centereducational programs for kidsafter school programs for kids,20120
Robotics And Kids,"
PVCC - Main Building, Piedmont Virginia Community College, 501 College Drive, 501 College Dr, Charlottesville, VA 22902","
drobotscompany.com","
(800) 336-2098",,,39.1290818,-82.3376336,summer camps for kidsstem campseducational campsscience campscoding camps for kidsrobotics campskids learning centereducational programs for kidsafter school programs for kids,20120
Mad Science of Washington DC,"
12065 Tech Rd, Silver Spring, MD 20904","
dc.madscience.org","
(301) 593-4777",,,39.1290818,-82.3376336,summer camps for kidsstem campseducational campsscience campscoding camps for kidsrobotics campskids learning centereducational programs for kidsafter school programs for kids,20120
MakerState STEM Summer Camp & STEM Makerspaces,"
233 W 77th St Suite 1, New York, NY 10024","
maker-state.com",,,,40.7829142,-78.5954528,summer camps for kidsstem campseducational campsscience campscoding camps for kidsrobotics campskids learning centereducational programs for kidsafter school programs for kids,20120
Camp Roanoke,"
6498 Dry Hollow Rd, Salem, VA 24153","
camproanoke.com","
(540) 387-6114",,,37.2150039,-84.7799758,summer camps for kidsstem campseducational campsscience campscoding camps for kidsrobotics campskids learning centereducational programs for kidsafter school programs for kids,20120
I AM STEM,,"
iamstemcamps.com",,,,31.259883,-94.1492008,summer camps for kidsstem campseducational campsscience campscoding camps for kidsrobotics campskids learning centereducational programs for kidsafter school programs for kids,20120
KidsRoboTechClub,"
7605 Virginia Pkwy, McKinney, TX 75071",,"
(972) 920-6855",,,33.2029818,-101.3309751,summer camps for kidsstem campseducational campsscience campscoding camps for kidsrobotics campskids learning centereducational programs for kidsafter school programs for kids,20120
Engineering For Kids - Nova,,"
engineeringforkids.com","
(703) 997-1919",,,46.423669,-134.5569664,summer camps for kidsstem campseducational campsscience campscoding camps for kidsrobotics campskids learning centereducational programs for kidsafter school programs for kids,20120
Engineering For Kids of Triangle,"
110 Lattner Ct #104, Morrisville, NC 27560","
engineeringforkids.com","
(919) 251-5492",,,35.8300875,-83.4667045,summer camps for kidsstem campseducational campsscience campscoding camps for kidsrobotics campskids learning centereducational programs for kidsafter school programs for kids,20120
Magikid Robotics Lab Highland Park Dallas,"
6170 Sherry Ln ste 340, Dallas, TX 75225","
magikidlab.com","
(972) 813-9429",,,32.8618703,-101.4192592,summer camps for kidsstem campseducational campsscience campscoding camps for kidsrobotics campskids learning centereducational programs for kidsafter school programs for kids,20120
