name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude,keyword,searched_zipcode
Game Camp Nation,"
13460 Sunrise Valley Dr, Herndon, VA 20171","
gamecamp.com","
(888) 663-9633",,,38.0133165,-84.6187924,summer camps for kids,20170
Fairfax Collegiate Summer Program,"
722 Grant St, Herndon, VA 20170","
fairfaxcollegiate.com","
(703) 481-3080",,,38.0133165,-84.6187924,summer camps for kids,20170
YMCA Fairfax County Reston,"
12196 Sunset Hills Rd, Reston, VA 20190","
ymcadc.org","
(703) 742-8800",,,38.0133165,-84.6187924,summer camps for kids,20170
Focus Summer Camp,"
22570 Markey Ct #108, Sterling, VA 20166","
focuscamp.org","
(703) 574-0161",,,38.0133165,-84.6187924,summer camps for kids,20170
Camp Greenway,"
8328 Georgetown Pike, McLean, VA 22102","
madeira.org","
(703) 556-8234",,,38.0133165,-84.6187924,summer camps for kids,20170
Katydid Inc Day Camps,"
2709 West Ox Rd, Herndon, VA 20171","
katydidkids.com","
(703) 689-3104",,,38.0133165,-84.6187924,summer camps for kids,20170
Sterling Community Center,"
120 Enterprise St, Sterling, VA 20164","
loudoun.gov","
(703) 430-9480",,,38.0133165,-84.6187924,summer camps for kids,20170
Reston Community Center,"
2310 Colts Neck Rd, Reston, VA 20191","
restoncommunitycenter.com","
(703) 476-4500",,,38.0133165,-84.6187924,summer camps for kids,20170
Herndon Community Center,"
814 Ferndale Ave, Herndon, VA 20170","
herndon-va.gov","
(703) 787-7300",,,38.0133165,-84.6187924,summer camps for kids,20170
Winwood Children's Center,"
1841 Explorer St, Reston, VA 20190","
cadence-education.com","
(703) 832-0809",,,38.0133165,-84.6187924,summer camps for kids,20170
Bach to Rock Herndon,"
13009 Worldgate Dr, Herndon, VA 20170","
bachtorock.com","
(703) 657-2830",,,38.0133165,-84.6187924,summer camps for kids,20170
Karter School of Cascades,"
21290 Springlake Ct, Sterling, VA 20166","
karterschools.com","
(703) 430-8657",,,38.0133165,-84.6187924,summer camps for kids,20170
Celebree School of Herndon-West Reston,"
12700 Sunrise Valley Dr, Reston, VA 20191","
celebree.com","
(703) 436-1778",,,38.0133165,-84.6187924,summer camps for kids,20170
Claude Moore Recreation & Community Center,"
46105 Loudoun Park Ln, Sterling, VA 20164","
loudoun.gov","
(571) 258-3600",,,38.0133165,-84.6187924,summer camps for kids,20170
Sunshine Kidz Day Camp,"
3616 Jermantown Rd, Fairfax, VA 22030",,"
(703) 678-9665",,,38.0133165,-84.6187924,summer camps for kids,20170
Sterner's Tae Kwon Do Academy,"
396 Elden St, Herndon, VA 20170","
sternerstkd.com","
(703) 668-0670",,,38.0133165,-84.6187924,summer camps for kids,20170
Reston Teen Center,"
12196 Sunset Hills Rd, Reston, VA 20190","
fairfaxcounty.gov","
(703) 326-7040",,,38.0133165,-84.6187924,summer camps for kids,20170
The Goddard School of Herndon - McNair/West Reston,"
2400 Dulles Town Blvd, Herndon, VA 20171","
goddardschool.com","
(703) 653-0337",,,38.0133165,-84.6187924,summer camps for kids,20170
Science Cosmos,"
14101 Parke Long Ct suite n, Chantilly, VA 20151",,"
(703) 831-7416",,,37.7764584,-84.6197346,stem camps,20170
STEM exCEL Enrichment Center,"
9914 Main St, Fairfax, VA 22031","
stemexcel.org","
(703) 673-2784",,,37.7764584,-84.6197346,stem camps,20170
Stemtree of Ashburn,"
9914 Main St, Fairfax, VA 22031","
stemtree.com","
(571) 500-7836",,,37.7764584,-84.6197346,stem camps,20170
Stemtree Education Center LLC,"
Same unit as Ashburn Art Classes, 21001 Sycolin Rd Suite 210, Ashburn, VA 20147","
stemtree.com","
(571) 500-7836",,,37.7764584,-84.6197346,stem camps,20170
Nova Enrichment Academy,"
22621 Amendola Terrace #153, Ashburn, VA 20148",,"
(844) 838-9700",,,37.7764584,-84.6197346,stem camps,20170
STEM For U,"
43068 Addlestone Pl, Ashburn, VA 20148","
stemforu.org",,,,37.7764584,-84.6197346,stem camps,20170
Science Cosmos,"
43068 Addlestone Pl, Ashburn, VA 20148","
stemforu.org",,,,37.7764584,-84.6197346,stem camps,20170
Astar Explorer,"
11750 Fair Oaks Mall, Fairfax, VA 22033","
astarexplorer.com","
(571) 619-3478",,,37.7764584,-84.6197346,stem camps,20170
Mindframe Education,"
44933 George Washington Blvd STE 160, Ashburn, VA 20147","
mindframeeducation.com","
(703) 940-9440",,,37.7764584,-84.6197346,stem camps,20170
"JCC Of Greater Washington Drobots Drone STEM Camps For Kids, Pre-Teens & Teens","
44933 George Washington Blvd STE 160, Ashburn, VA 20147","
mindframeeducation.com","
(703) 940-9440",,,37.7764584,-84.6197346,stem camps,20170
Logos Academy,"
2999 Centreville Rd, Herndon, VA 20171","
logosacademy.net","
(202) 669-4319",,,37.7764584,-84.6197346,stem camps,20170
Young Minds Empowered,"
12020 Sunrise Valley Dr #100, Reston, VA 20191",,"
(510) 633-3556",,,37.7764584,-84.6197346,stem camps,20170
Campaign Pay It Forward,"
Admin Office ONLY, 9893 Georgetown Pike Suite 105, Great Falls, VA 22066","
campaignpayitforward.com",,,,38.9974206,-86.5162103,stem camps,20170
The Learning Experience - Sterling Potomac Falls,"
20881 Potomac View Rd, Sterling, VA 20165","
thelearningexperience.com","
(703) 454-5677",,,38.9974206,-86.5162103,stem camps,20170
"Montgomery College Drobots Drone STEM Camps For Kids, Pre-Teens, and Teens","
20881 Potomac View Rd, Sterling, VA 20165","
thelearningexperience.com","
(703) 454-5677",,,38.9974206,-86.5162103,stem camps,20170
Snapology of Leesburg,"
20881 Potomac View Rd, Sterling, VA 20165","
thelearningexperience.com","
(703) 454-5677",,,38.9974206,-86.5162103,stem camps,20170
Kids Quest Club,"
20608 Gordon Pk Sq Unit 170, Ashburn, VA 20147",,"
(703) 665-0075",,,38.9974206,-86.5162103,stem camps,20170
Village Green Day School - Great Falls,"
20608 Gordon Pk Sq Unit 170, Ashburn, VA 20147",,"
(703) 665-0075",,,38.9974206,-86.5162103,stem camps,20170
Fairfax's BEST After-School and Summer Camp,"
20608 Gordon Pk Sq Unit 170, Ashburn, VA 20147",,"
(703) 665-0075",,,38.9974206,-86.5162103,stem camps,20170
Sterling Early Learning Academy,"
11230 Waples Mill Rd STE 160, Fairfax, VA 22030","
fairfaxafterschool.com","
(703) 272-3466",,,38.9974206,-86.5162103,stem camps,20170
Ideaventions Academy,"
12340 Pinecrest Rd, Reston, VA 20191","
ideaventionsacademy.org","
(703) 860-0211",,,38.9974206,-86.5162103,stem camps,20170
Children's Science Center Lab,"
11948L Fair Oaks Mall, Fairfax, VA 22033","
childsci.org","
(703) 648-3130",,,38.9974206,-86.5162103,stem camps,20170
C2 Education of Sterling,"
12344 Towncenter Plz, Sterling, VA 20164","
c2educate.com","
(703) 421-4300",,,38.9974206,-86.5162103,stem camps,20170
The Madame Curie Preschool,"
13505 Dulles Technology Dr STE 1, Herndon, VA 20171","
curieschool.com","
(703) 303-1370",,,38.9974206,-86.5162103,stem camps,20170
Sterling Park KinderCare,"
106 Free Ct, Sterling, VA 20164","
kindercare.com","
(703) 430-7373",,,38.9974206,-86.5162103,stem camps,20170
Soapstone KinderCare,"
2300 Soapstone Dr, Reston, VA 20191","
kindercare.com","
(703) 476-4710",,,38.9974206,-86.5162103,stem camps,20170
Lake Newport KinderCare,"
2300 Soapstone Dr, Reston, VA 20191","
kindercare.com","
(703) 476-4710",,,38.9974206,-86.5162103,stem camps,20170
Intellectual Point - IT Training and IT Business Solutions,"
46175 Westlake Dr Suite 240-250, Sterling, VA 20165","
intellectualpoint.com","
(703) 554-3827",,,38.9974206,-86.5162103,stem camps,20170
iCode Vienna,"
419A Maple Ave E, Vienna, VA 22180","
icodeschool.com","
(571) 295-5708",,,38.9974206,-86.5162103,stem camps,20170
Tigerden Martial Arts / After School,"
419A Maple Ave E, Vienna, VA 22180","
icodeschool.com","
(571) 295-5708",,,38.9974206,-86.5162103,stem camps,20170
MIN EDUCATION - Robothink McLean Center,"
1340 Old Chain Bridge Rd STE203, McLean, VA 22101","
fairfax.myrobothink.com","
(571) 439-1433",,,38.9974206,-86.5162103,stem camps,20170
Tiny City Academy,"
21019 Forum Terrace, Sterling, VA 20166","
tinycityacademy.com","
(703) 444-2626",,,38.9974206,-86.5162103,stem camps,20170
NYLF Pathways to Stem,"
1919 Gallows Rd ste 700-2, Vienna, VA 22182",,"
(866) 858-5323",,,38.9974206,-86.5162103,stem camps,20170
Mad Science of Washington DC,"
1919 Gallows Rd ste 700-2, Vienna, VA 22182",,"
(866) 858-5323",,,38.9974206,-86.5162103,stem camps,20170
