name,address,website,has_website,phone_number,business_type,reviews_count,reviews_average,latitude,longitude,keyword,category,searched_zipcode,email_1,email_2,email_3,all_emails,facebook,instagram,email_found,scrape_status
Eat Zone,"3003 E Illinois Ave Suite 1, Dallas, TX 75216",https://eatzone.top,Yes,(214) 376-9663,,4.0,31.0,32.7450247,-96.9889957,quick service restaurant,Food & Restaurant,75203,black9@qq.com,,,black9@qq.com,,,Yes,found_homepage
Da Cajun Kitchen,"4010 S Walton Walker Blvd, Dallas, TX 75236",https://da-cajun-kitchen.com,Yes,(214) 484-1318,,3.0,5.0,32.6949686,-97.1820227,quick service restaurant,Food & Restaurant,75203,,,,,,,No,no_contact_found
24 Seven Tacos,"4010 S Walton Walker Blvd, Dallas, TX 75236",https://da-cajun-kitchen.com,Yes,(214) 484-1318,,3.0,5.0,32.6949686,-97.1820227,quick service restaurant,Food & Restaurant,75203,,,,,,,No,no_contact_found
Golden Chick,"410 W Kiest Blvd, Dallas, TX 75224",https://locations.goldenchick.com,Yes,(214) 371-2400,,968.0,1.0,32.6949686,-97.1820227,quick service restaurant,Food & Restaurant,75203,,,,,https://www.facebook.com/GoldenChick/,https://www.instagram.com/goldenchickofficial/,No,no_contact_found
Ivette's Burgers Wings and More,"8661 S Hampton Rd, Dallas, TX 75232",https://ivettesburgerwingsmore.com,Yes,(214) 272-3543,,1.0,3.0,32.6949686,-97.1820227,quick service restaurant,Food & Restaurant,75203,,,,,,,No,no_contact_found
Burger King,"8661 S Hampton Rd, Dallas, TX 75232",https://ivettesburgerwingsmore.com,Yes,(214) 272-3543,,1.0,3.0,32.6949686,-97.1820227,quick service restaurant,Food & Restaurant,75203,,,,,,,No,no_contact_found
McDonald's,"632 S R L Thornton Freeway Service Rd, Dallas, TX 75203",https://mcdonalds.com,Yes,(214) 946-1413,,155.0,3.0,32.6949686,-97.1820227,quick service restaurant,Food & Restaurant,75203,,,,,https://www.facebook.com/McDonalds/,https://www.instagram.com/wearegolden/,No,no_contact_found
Valentino,"428 E Jefferson Blvd, Dallas, TX 75203",https://valentinodallas.com,Yes,(214) 942-4003,,4.0,41.0,32.6949686,-97.1820227,quick service restaurant,Food & Restaurant,75203,,,,,,,No,no_contact_found
Popeyes Louisiana Kitchen,"630 S R L Thornton Freeway Service Rd, Dallas, TX 75203",https://popeyes.com,Yes,(214) 941-0715,,2.0,64.0,32.6949686,-97.1820227,quick service restaurant,Food & Restaurant,75203,,,,,,,No,no_contact_found
Jack in the Box,"630 S R L Thornton Freeway Service Rd, Dallas, TX 75203",https://popeyes.com,Yes,(214) 941-0715,,2.0,64.0,32.6949686,-97.1820227,quick service restaurant,Food & Restaurant,75203,,,,,,,No,no_contact_found
Wendy's,"630 S R L Thornton Freeway Service Rd, Dallas, TX 75203",https://popeyes.com,Yes,(214) 941-0715,,2.0,64.0,32.6949686,-97.1820227,quick service restaurant,Food & Restaurant,75203,,,,,,,No,no_contact_found
Wingstop,"1133 N Zang Blvd, Dallas, TX 75203",https://wingstop.com,Yes,(214) 944-5925,,9.0,32.0,32.6949686,-97.1820227,quick service restaurant,Food & Restaurant,75203,,,,,,,No,no_contact_found
Sonic Drive-In,"1133 N Zang Blvd, Dallas, TX 75203",https://wingstop.com,Yes,(214) 944-5925,,9.0,32.0,32.6949686,-97.1820227,quick service restaurant,Food & Restaurant,75203,,,,,,,No,no_contact_found
Chicken N Things,"2011 Botham Jean Blvd, Dallas, TX 75215",https://chicken-n-things.com,Yes,(214) 421-0045,,81.0,1.0,32.6949686,-97.1820227,quick service restaurant,Food & Restaurant,75203,,,,,,,No,no_contact_found
Hunky's Old Fashioned Hamburgers - Cedar Springs,"2011 Botham Jean Blvd, Dallas, TX 75215",https://chicken-n-things.com,Yes,(214) 421-0045,,81.0,1.0,32.6949686,-97.1820227,quick service restaurant,Food & Restaurant,75203,,,,,,,No,no_contact_found
Sonic Drive-In,"6617 Hillcrest Ave, Dallas, TX 75205",https://bubbasdallas.com,Yes,(214) 373-6527,,127.0,2.0,32.6949686,-97.1820227,quick service restaurant,Food & Restaurant,75203,,,,,,,No,no_contact_found
Chop House Burger Dallas,"6617 Hillcrest Ave, Dallas, TX 75205",https://bubbasdallas.com,Yes,(214) 373-6527,,127.0,2.0,32.6949686,-97.1820227,quick service restaurant,Food & Restaurant,75203,,,,,,,No,no_contact_found
McDonalds,"6617 Hillcrest Ave, Dallas, TX 75205",https://bubbasdallas.com,Yes,(214) 373-6527,,127.0,2.0,32.6949686,-97.1820227,quick service restaurant,Food & Restaurant,75203,,,,,,,No,no_contact_found
Soul Kitchen,"6617 Hillcrest Ave, Dallas, TX 75205",https://bubbasdallas.com,Yes,(214) 373-6527,,127.0,2.0,32.6949686,-97.1820227,quick service restaurant,Food & Restaurant,75203,,,,,,,No,no_contact_found
Italia Express Cedar Springs,"6617 Hillcrest Ave, Dallas, TX 75205",https://bubbasdallas.com,Yes,(214) 373-6527,,127.0,2.0,32.6949686,-97.1820227,quick service restaurant,Food & Restaurant,75203,,,,,,,No,no_contact_found
Golden Chick,"4000 Cedar Springs Rd, Dallas, TX 75219",https://italiaexpresscedarsprings.com,Yes,(214) 521-3300,,260.0,2.0,32.6949686,-97.1820227,quick service restaurant,Food & Restaurant,75203,,,,,,,No,no_contact_found
Primo Tacos and Hot Dogs,"4000 Cedar Springs Rd, Dallas, TX 75219",https://italiaexpresscedarsprings.com,Yes,(214) 521-3300,,260.0,2.0,32.6949686,-97.1820227,quick service restaurant,Food & Restaurant,75203,,,,,,,No,no_contact_found
Griff's Hamburgers,"4000 Cedar Springs Rd, Dallas, TX 75219",https://italiaexpresscedarsprings.com,Yes,(214) 521-3300,,260.0,2.0,32.7325205,-96.9707485,quick service restaurant,Food & Restaurant,75203,,,,,,,No,no_contact_found
Williams Chicken,"1150 Buckner Blvd, Dallas, TX 75217",https://griffshamburgers.com,Yes,(214) 398-7321,,401.0,3.0,32.7325205,-96.9707485,quick service restaurant,Food & Restaurant,75203,bossiercity@griffshamburgers.com,dallas@griffshamburgers.com,fortworth@griffshamburgers.com,bossiercity@griffshamburgers.com | dallas@griffshamburgers.com | fortworth@griffshamburgers.com | garland@griffshamburgers.com | haltomcity@griffshamburgers.com | irving@griffshamburgers.com | mesquite@griffshamburgers.com | riveroaks@griffshamburgers.com | ruston@griffshamburgers.com | sanantonio@griffshamburgers.com | shreveport@griffshamburgers.com,https://www.facebook.com/griffshamburgers/,https://www.instagram.com/griffshamburgers/,Yes,found_subpage
Sonic Drive-In,"1150 Buckner Blvd, Dallas, TX 75217",https://griffshamburgers.com,Yes,(214) 398-7321,,401.0,3.0,32.7325205,-96.9707485,quick service restaurant,Food & Restaurant,75203,bossiercity@griffshamburgers.com,dallas@griffshamburgers.com,fortworth@griffshamburgers.com,bossiercity@griffshamburgers.com | dallas@griffshamburgers.com | fortworth@griffshamburgers.com | garland@griffshamburgers.com | haltomcity@griffshamburgers.com | irving@griffshamburgers.com | mesquite@griffshamburgers.com | riveroaks@griffshamburgers.com | ruston@griffshamburgers.com | sanantonio@griffshamburgers.com | shreveport@griffshamburgers.com,https://www.facebook.com/griffshamburgers/,https://www.instagram.com/griffshamburgers/,Yes,found_subpage
South Side Food Shack Bar and Grill,"1150 Buckner Blvd, Dallas, TX 75217",https://griffshamburgers.com,Yes,(214) 398-7321,,401.0,3.0,32.7325205,-96.9707485,quick service restaurant,Food & Restaurant,75203,bossiercity@griffshamburgers.com,dallas@griffshamburgers.com,fortworth@griffshamburgers.com,bossiercity@griffshamburgers.com | dallas@griffshamburgers.com | fortworth@griffshamburgers.com | garland@griffshamburgers.com | haltomcity@griffshamburgers.com | irving@griffshamburgers.com | mesquite@griffshamburgers.com | riveroaks@griffshamburgers.com | ruston@griffshamburgers.com | sanantonio@griffshamburgers.com | shreveport@griffshamburgers.com,https://www.facebook.com/griffshamburgers/,https://www.instagram.com/griffshamburgers/,Yes,found_subpage
Lubys Culinary at Courts Cafe,"1150 Buckner Blvd, Dallas, TX 75217",https://griffshamburgers.com,Yes,(214) 398-7321,,401.0,3.0,32.7325205,-96.9707485,quick service restaurant,Food & Restaurant,75203,bossiercity@griffshamburgers.com,dallas@griffshamburgers.com,fortworth@griffshamburgers.com,bossiercity@griffshamburgers.com | dallas@griffshamburgers.com | fortworth@griffshamburgers.com | garland@griffshamburgers.com | haltomcity@griffshamburgers.com | irving@griffshamburgers.com | mesquite@griffshamburgers.com | riveroaks@griffshamburgers.com | ruston@griffshamburgers.com | sanantonio@griffshamburgers.com | shreveport@griffshamburgers.com,https://www.facebook.com/griffshamburgers/,https://www.instagram.com/griffshamburgers/,Yes,found_subpage
All Day,"1150 Buckner Blvd, Dallas, TX 75217",https://griffshamburgers.com,Yes,(214) 398-7321,,401.0,3.0,32.7325205,-96.9707485,quick service restaurant,Food & Restaurant,75203,bossiercity@griffshamburgers.com,dallas@griffshamburgers.com,fortworth@griffshamburgers.com,bossiercity@griffshamburgers.com | dallas@griffshamburgers.com | fortworth@griffshamburgers.com | garland@griffshamburgers.com | haltomcity@griffshamburgers.com | irving@griffshamburgers.com | mesquite@griffshamburgers.com | riveroaks@griffshamburgers.com | ruston@griffshamburgers.com | sanantonio@griffshamburgers.com | shreveport@griffshamburgers.com,https://www.facebook.com/griffshamburgers/,https://www.instagram.com/griffshamburgers/,Yes,found_subpage
Kiest Market,"1150 Buckner Blvd, Dallas, TX 75217",https://griffshamburgers.com,Yes,(214) 398-7321,,401.0,3.0,32.7325205,-96.9707485,quick service restaurant,Food & Restaurant,75203,bossiercity@griffshamburgers.com,dallas@griffshamburgers.com,fortworth@griffshamburgers.com,bossiercity@griffshamburgers.com | dallas@griffshamburgers.com | fortworth@griffshamburgers.com | garland@griffshamburgers.com | haltomcity@griffshamburgers.com | irving@griffshamburgers.com | mesquite@griffshamburgers.com | riveroaks@griffshamburgers.com | ruston@griffshamburgers.com | sanantonio@griffshamburgers.com | shreveport@griffshamburgers.com,https://www.facebook.com/griffshamburgers/,https://www.instagram.com/griffshamburgers/,Yes,found_subpage
Chicken Express,"1150 Buckner Blvd, Dallas, TX 75217",https://griffshamburgers.com,Yes,(214) 398-7321,,401.0,3.0,32.7325205,-96.9707485,quick service restaurant,Food & Restaurant,75203,bossiercity@griffshamburgers.com,dallas@griffshamburgers.com,fortworth@griffshamburgers.com,bossiercity@griffshamburgers.com | dallas@griffshamburgers.com | fortworth@griffshamburgers.com | garland@griffshamburgers.com | haltomcity@griffshamburgers.com | irving@griffshamburgers.com | mesquite@griffshamburgers.com | riveroaks@griffshamburgers.com | ruston@griffshamburgers.com | sanantonio@griffshamburgers.com | shreveport@griffshamburgers.com,https://www.facebook.com/griffshamburgers/,https://www.instagram.com/griffshamburgers/,Yes,found_subpage
Raising Cane's Chicken Fingers,"6124 Lemmon Ave, Dallas, TX 75209",https://chickene.com,Yes,(214) 353-7175,,123.0,1.0,32.8336127,-97.1173096,quick service restaurant,Food & Restaurant,75203,,,,,,,No,no_contact_found
Original ChopShop,"6124 Lemmon Ave, Dallas, TX 75209",https://chickene.com,Yes,(214) 353-7175,,123.0,1.0,32.8336127,-97.1173096,quick service restaurant,Food & Restaurant,75203,,,,,,,No,no_contact_found
Tiquicheo Cocina Mexicana,"6124 Lemmon Ave, Dallas, TX 75209",https://chickene.com,Yes,(214) 353-7175,,123.0,1.0,32.8336127,-97.1173096,quick service restaurant,Food & Restaurant,75203,,,,,,,No,no_contact_found
The Exchange Food Hall,"6124 Lemmon Ave, Dallas, TX 75209",https://chickene.com,Yes,(214) 353-7175,,123.0,1.0,32.8336127,-97.1173096,quick service restaurant,Food & Restaurant,75203,,,,,,,No,no_contact_found
Domino's Pizza,"428 E Jefferson Blvd Suite 119, Dallas, TX 75203",https://restaurants.subway.com,Yes,(214) 942-8222,,8.0,24.0,32.8336127,-97.1173096,quick service restaurant,Food & Restaurant,75203,,,,,,,No,no_contact_found
Keys Hotfood,"428 E Jefferson Blvd Suite 119, Dallas, TX 75203",https://restaurants.subway.com,Yes,(214) 942-8222,,8.0,24.0,32.8336127,-97.1173096,quick service restaurant,Food & Restaurant,75203,,,,,,,No,no_contact_found
Jason's Deli,"428 E Jefferson Blvd Suite 119, Dallas, TX 75203",https://restaurants.subway.com,Yes,(214) 942-8222,,8.0,24.0,32.8336127,-97.1173096,quick service restaurant,Food & Restaurant,75203,,,,,,,No,no_contact_found
Grandy's,"4703 Greenville Ave, Dallas, TX 75206",https://locations.jollibeefoods.com,Yes,(469) 899-9850,,356.0,1.0,32.8336127,-97.1173096,quick service restaurant,Food & Restaurant,75203,,,,,https://www.facebook.com/JollibeeUS/,https://www.instagram.com/jollibeeus/,No,no_contact_found
Sabor a la Mexicana,"4703 Greenville Ave, Dallas, TX 75206",https://locations.jollibeefoods.com,Yes,(214) 579-9080,,356.0,1.0,32.8336127,-97.1173096,quick service restaurant,Food & Restaurant,75203,,,,,https://www.facebook.com/JollibeeUS/,https://www.instagram.com/jollibeeus/,No,no_contact_found
Jack in the Box,"1020 W Davis St, Dallas, TX 75208",https://locations.jackinthebox.com,Yes,(214) 946-5020,,9.0,94.0,32.8336127,-97.1173096,quick service restaurant,Food & Restaurant,75203,,,,,https://www.facebook.com/jackinthebox/,https://www.instagram.com/jackinthebox/,No,no_contact_found
DEL SUR TACOS,"1020 W Davis St, Dallas, TX 75208",https://delsurtacosdallas.com,Yes,(972) 982-0004,,5.0,95.0,32.8336127,-97.1173096,quick service restaurant,Food & Restaurant,75203,delsurtacos@yahoo.com,,,delsurtacos@yahoo.com,,https://www.instagram.com/delsurtacos/,Yes,found_homepage
Las Ranitas Dallas,"720 E Jefferson Blvd, Dallas, TX 75203",https://delsurtacosdallas.com,Yes,(972) 982-0004,,5.0,95.0,32.8336127,-97.1173096,quick service restaurant,Food & Restaurant,75203,delsurtacos@yahoo.com,,,delsurtacos@yahoo.com,,https://www.instagram.com/delsurtacos/,Yes,found_homepage
"Johnny's Chicken & Waffles Dallas, TX","1326 Botham Jean Blvd, Dallas, TX 75215",https://johnnyschickenandwaffles.com,Yes,(972) 803-5401,,792.0,1.0,32.8336127,-97.1173096,quick service restaurant,Food & Restaurant,75203,info@johnnyschickenandwaffles.com,,,info@johnnyschickenandwaffles.com,https://www.facebook.com/johnnyschickenusa,https://www.instagram.com/johnnyschickenusa/?__coig_restricted=1,Yes,found_homepage
QuikTrip,"1326 Botham Jean Blvd, Dallas, TX 75215",https://johnnyschickenandwaffles.com,Yes,(972) 803-5401,,792.0,1.0,32.8336127,-97.1173096,quick service restaurant,Food & Restaurant,75203,info@johnnyschickenandwaffles.com,,,info@johnnyschickenandwaffles.com,https://www.facebook.com/johnnyschickenusa,https://www.instagram.com/johnnyschickenusa/?__coig_restricted=1,Yes,found_homepage
bbbop Seoul Kitchen,"828 W Davis St, Dallas, TX 75208",https://bbbop.com,Yes,(469) 248-3702,,253.0,1.0,32.8336127,-97.1173096,quick service restaurant,Food & Restaurant,75203,,,,,,,No,no_contact_found
Power House Cafe,"601 N Akard St, Dallas, TX 75201",https://powerhouse.cafe,Yes,(214) 871-7126,,8.0,7.0,32.8336127,-97.1173096,quick service restaurant,Food & Restaurant,75203,,,,,,,No,no_contact_found
Wing Spot,"7616 S Great Trinity Forest Way Suite B, Dallas, TX 75217",https://wingspot.top,Yes,(469) 250-7575,,6.0,13.0,32.8336127,-97.1173096,quick service restaurant,Food & Restaurant,75203,info@wingspot.top,black9@qq.com,,info@wingspot.top | black9@qq.com,,,Yes,found_homepage
Taqueria Pedrito,"7616 S Great Trinity Forest Way Suite B, Dallas, TX 75217",https://wingspot.top,Yes,(469) 250-7575,,6.0,13.0,32.8336127,-97.1173096,quick service restaurant,Food & Restaurant,75203,info@wingspot.top,black9@qq.com,,info@wingspot.top | black9@qq.com,,,Yes,found_homepage
The303BishopArts,"7616 S Great Trinity Forest Way Suite B, Dallas, TX 75217",https://wingspot.top,Yes,(469) 250-7575,,6.0,13.0,32.8336127,-97.1173096,quick service restaurant,Food & Restaurant,75203,info@wingspot.top,black9@qq.com,,info@wingspot.top | black9@qq.com,,,Yes,found_homepage
Shell,"7616 S Great Trinity Forest Way Suite B, Dallas, TX 75217",https://wingspot.top,Yes,(469) 250-7575,,6.0,13.0,32.8336127,-97.1173096,quick service restaurant,Food & Restaurant,75203,info@wingspot.top,black9@qq.com,,info@wingspot.top | black9@qq.com,,,Yes,found_homepage
Dickey's Barbecue Pit,"424 S R L Thornton Freeway Service Rd, Dallas, TX 75203",https://find.shell.com,Yes,(214) 942-6904,,0.0,17.0,32.8336127,-97.1173096,quick service restaurant,Food & Restaurant,75203,,,,,,,No,no_contact_found
Tacodeli,"424 S R L Thornton Freeway Service Rd, Dallas, TX 75203",https://find.shell.com,Yes,(214) 942-6904,,0.0,17.0,32.8336127,-97.1173096,quick service restaurant,Food & Restaurant,75203,,,,,,,No,no_contact_found
Charco Broiler Steak House,"424 S R L Thornton Freeway Service Rd, Dallas, TX 75203",https://find.shell.com,Yes,(214) 942-6904,,0.0,17.0,32.8336127,-97.1173096,quick service restaurant,Food & Restaurant,75203,,,,,,,No,no_contact_found
Jack in the Box,"404 W Illinois Ave, Dallas, TX 75224",https://locations.jackinthebox.com,Yes,(214) 946-5019,,462.0,1.0,32.8336127,-97.1173096,quick service restaurant,Food & Restaurant,75203,,,,,https://www.facebook.com/jackinthebox/,https://www.instagram.com/jackinthebox/,No,no_contact_found
Corner Bakery Cafe,"404 W Illinois Ave, Dallas, TX 75224",https://locations.jackinthebox.com,Yes,(214) 946-5019,,462.0,1.0,32.8336127,-97.1173096,quick service restaurant,Food & Restaurant,75203,,,,,https://www.facebook.com/jackinthebox/,https://www.instagram.com/jackinthebox/,No,no_contact_found
Restaurant Beatrice,"6617 Hillcrest Ave, Dallas, TX 75205",https://bubbasdallas.com,Yes,(214) 373-6527,,127.0,2.0,32.8336127,-97.1173096,quick service restaurant,Food & Restaurant,75203,,,,,,,No,no_contact_found
Snap Kitchen - Uptown,"2222 McKinney Ave STE 110, Dallas, TX 75201",https://snapkitchen.com,Yes,(469) 206-3460,,1.0,19.0,32.8336127,-97.1173096,quick service restaurant,Food & Restaurant,75203,,,,,,https://www.instagram.com/snapkitchen/,No,no_contact_found
Wendy's,"2222 McKinney Ave STE 110, Dallas, TX 75201",https://snapkitchen.com,Yes,(469) 206-3460,,1.0,19.0,32.8336127,-97.1173096,quick service restaurant,Food & Restaurant,75203,,,,,,https://www.instagram.com/snapkitchen/,No,no_contact_found
Chip's Old Fashioned Hamburgers,"1605 N Beckley Ave, Dallas, TX 75208",https://thebestburgerever.com,Yes,(214) 434-1084,,0.0,75.0,32.7641744,-96.9675034,burger restaurant,Food & Restaurant,75203,,,,,,,No,no_contact_found
Herby's Burgers,"1605 N Beckley Ave, Dallas, TX 75208",https://thebestburgerever.com,Yes,(214) 434-1084,,0.0,75.0,32.7641744,-96.9675034,burger restaurant,Food & Restaurant,75203,,,,,,,No,no_contact_found
CHADENIS DALLAS,"3939 S Polk St Ste 304, Dallas, TX 75224",https://chadenisdallas.com,Yes,(214) 647-1110,,6.0,17.0,32.7641744,-96.9675034,burger restaurant,Food & Restaurant,75203,,,,,https://www.facebook.com/Chadenisdallas/,,No,no_contact_found
Rodeo Goat,"1926 Market Center Blvd, Dallas, TX 75207",https://rodeogoat.com,Yes,(214) 741-4628,,432.0,8.0,32.7641744,-96.9675034,burger restaurant,Food & Restaurant,75203,,,,,,,No,no_contact_found
Meat Hook Burger,"1926 Market Center Blvd, Dallas, TX 75207",https://rodeogoat.com,Yes,(214) 741-4628,,432.0,8.0,32.7641744,-96.9675034,burger restaurant,Food & Restaurant,75203,,,,,,,No,no_contact_found
